purchase_id,product_id,supplier_id,purchase_date,batch_number,expiry_date,quantity_purchased,purchase_price
79,10,2,2023-06-25,B10_20230625,2023-12-22,451,14.83
80,10,2,2023-07-18,B10_20230718,2024-01-14,566,14.83
81,10,2,2023-08-06,B10_20230806,2024-02-02,480,14.83
82,10,2,2023-08-27,B10_20230827,2024-02-23,525,14.83
83,10,2,2023-09-16,B10_20230916,2024-03-14,507,14.83
84,10,2,2023-10-08,B10_20231008,2024-04-05,514,14.83
85,10,2,2023-10-27,B10_20231027,2024-04-24,511,14.83
86,10,2,2023-11-15,B10_20231115,2024-05-13,449,14.83
87,10,2,2023-12-03,B10_20231203,2024-05-31,593,14.83
88,10,2,2023-12-24,B10_20231224,2024-06-21,467,14.83
89,10,2,2024-01-18,B10_20240118,2024-07-16,517,14.83
90,10,2,2024-02-11,B10_20240211,2024-08-09,582,14.83
91,10,2,2024-03-02,B10_20240302,2024-08-29,501,14.83
92,10,2,2024-03-26,B10_20240326,2024-09-22,483,14.83
93,11,1,2023-04-01,B11_20230401,2023-09-28,486,26.83
94,11,1,2023-04-26,B11_20230426,2023-10-23,466,26.83
95,11,1,2023-05-18,B11_20230518,2023-11-14,475,26.83
96,11,1,2023-06-05,B11_20230605,2023-12-02,532,26.83
97,11,1,2023-06-23,B11_20230623,2023-12-20,558,26.83
98,11,1,2023-07-11,B11_20230711,2024-01-07,449,26.83
99,11,1,2023-08-05,B11_20230805,2024-02-01,520,26.83
100,11,1,2023-08-25,B11_20230825,2024-02-21,450,26.83
101,11,1,2023-09-13,B11_20230913,2024-03-11,574,26.83
102,11,1,2023-10-02,B11_20231002,2024-03-30,534,26.83
103,11,1,2023-10-23,B11_20231023,2024-04-20,504,26.83
104,11,1,2023-11-13,B11_20231113,2024-05-11,532,26.83
105,11,1,2023-12-01,B11_20231201,2024-05-29,538,26.83
106,11,1,2023-12-25,B11_20231225,2024-06-22,544,26.83
107,11,1,2024-01-17,B11_20240117,2024-07-15,587,26.83
108,11,1,2024-02-07,B11_20240207,2024-08-05,546,26.83
109,11,1,2024-03-01,B11_20240301,2024-08-28,479,26.83
110,11,1,2024-03-25,B11_20240325,2024-09-21,462,26.83
111,12,1,2023-04-01,B12_20230401,2023-09-28,987,33.81
112,12,1,2023-07-04,B12_20230704,2023-12-31,1075,33.81
113,12,1,2023-09-09,B12_20230909,2024-03-07,852,33.81
114,12,1,2023-12-02,B12_20231202,2024-05-30,1149,33.81
115,12,1,2024-02-08,B12_20240208,2024-08-06,871,33.81
116,13,1,2023-04-01,B13_20230401,2023-09-28,376,40.06
117,13,1,2023-05-17,B13_20230517,2023-11-13,518,40.06
118,13,1,2023-07-02,B13_20230702,2023-12-29,385,40.06
119,13,1,2023-08-15,B13_20230815,2024-02-11,494,40.06
120,13,1,2023-09-19,B13_20230919,2024-03-17,448,40.06
121,13,1,2023-10-27,B13_20231027,2024-04-24,425,40.06
122,13,1,2023-12-04,B13_20231204,2024-06-01,501,40.06
123,13,1,2024-01-12,B13_20240112,2024-07-10,403,40.06
124,13,1,2024-02-26,B13_20240226,2024-08-24,397,40.06
125,14,1,2023-04-01,B14_20230401,2023-09-28,600,31.99
126,14,1,2023-05-14,B14_20230514,2023-11-10,672,31.99
127,14,1,2023-06-19,B14_20230619,2023-12-16,526,31.99
128,14,1,2023-08-06,B14_20230806,2024-02-02,659,31.99
129,14,1,2023-09-11,B14_20230911,2024-03-09,510,31.99
130,14,1,2023-10-20,B14_20231020,2024-04-17,624,31.99
131,14,1,2023-12-02,B14_20231202,2024-05-30,539,31.99
132,14,1,2024-01-20,B14_20240120,2024-07-18,609,31.99
133,14,1,2024-03-08,B14_20240308,2024-09-04,610,31.99
134,15,1,2023-04-01,B15_20230401,2023-09-28,349,42.26
135,15,1,2023-04-21,B15_20230421,2023-10-18,405,42.26
136,15,1,2023-05-14,B15_20230514,2023-11-10,409,42.26
137,15,1,2023-06-03,B15_20230603,2023-11-30,391,42.26
138,15,1,2023-06-21,B15_20230621,2023-12-18,376,42.26
139,15,1,2023-07-09,B15_20230709,2024-01-05,447,42.26
140,15,1,2023-07-30,B15_20230730,2024-01-26,421,42.26
141,15,1,2023-08-18,B15_20230818,2024-02-14,382,42.26
142,15,1,2023-09-11,B15_20230911,2024-03-09,456,42.26
143,15,1,2023-10-01,B15_20231001,2024-03-29,451,42.26
144,15,1,2023-10-22,B15_20231022,2024-04-19,443,42.26
145,15,1,2023-11-11,B15_20231111,2024-05-09,445,42.26
146,15,1,2023-11-29,B15_20231129,2024-05-27,361,42.26
147,15,1,2023-12-22,B15_20231222,2024-06-19,433,42.26
148,15,1,2024-01-15,B15_20240115,2024-07-13,436,42.26
149,15,1,2024-02-05,B15_20240205,2024-08-03,372,42.26
150,15,1,2024-02-24,B15_20240224,2024-08-22,385,42.26
151,15,1,2024-03-13,B15_20240313,2024-09-09,443,42.26
152,16,2,2023-04-01,B16_20230401,2023-09-28,363,35.78
153,16,2,2023-04-26,B16_20230426,2023-10-23,381,35.78
154,16,2,2023-05-17,B16_20230517,2023-11-13,366,35.78
155,16,2,2023-06-07,B16_20230607,2023-12-04,387,35.78
156,16,2,2023-06-29,B16_20230629,2023-12-26,443,35.78
157,16,2,2023-07-21,B16_20230721,2024-01-17,382,35.78
158,16,2,2023-08-14,B16_20230814,2024-02-10,421,35.78
159,16,2,2023-09-06,B16_20230906,2024-03-04,452,35.78
160,16,2,2023-09-25,B16_20230925,2024-03-23,445,35.78
161,16,2,2023-10-17,B16_20231017,2024-04-14,361,35.78
162,16,2,2023-11-08,B16_20231108,2024-05-06,344,35.78
163,16,2,2023-12-02,B16_20231202,2024-05-30,381,35.78
164,16,2,2023-12-25,B16_20231225,2024-06-22,392,35.78
165,16,2,2024-01-13,B16_20240113,2024-07-11,386,35.78
166,16,2,2024-02-03,B16_20240203,2024-08-01,370,35.78
167,16,2,2024-02-27,B16_20240227,2024-08-25,340,35.78
168,16,2,2024-03-19,B16_20240319,2024-09-15,383,35.78
169,17,1,2023-04-01,B17_20230401,2023-09-28,885,8.45
170,17,1,2023-05-16,B17_20230516,2023-11-12,808,8.45
171,17,1,2023-06-23,B17_20230623,2023-12-20,831,8.45
172,17,1,2023-08-06,B17_20230806,2024-02-02,781,8.45
173,17,1,2023-09-23,B17_20230923,2024-03-21,739,8.45
174,17,1,2023-11-06,B17_20231106,2024-05-04,792,8.45
175,17,1,2023-12-17,B17_20231217,2024-06-14,761,8.45
176,17,1,2024-02-02,B17_20240202,2024-07-31,821,8.45
177,17,1,2024-03-13,B17_20240313,2024-09-09,807,8.45
178,18,2,2023-04-01,B18_20230401,2023-09-28,1263,23.18
179,18,2,2023-07-01,B18_20230701,2023-12-28,1105,23.18
180,18,2,2023-09-13,B18_20230913,2024-03-11,1186,23.18
181,18,2,2023-12-12,B18_20231212,2024-06-09,1331,23.18
182,18,2,2024-03-06,B18_20240306,2024-09-02,1230,23.18
183,19,3,2023-04-01,B19_20230401,2023-09-28,589,45.15
184,19,3,2023-05-12,B19_20230512,2023-11-08,602,45.15
185,19,3,2023-06-21,B19_20230621,2023-12-18,628,45.15
186,19,3,2023-08-04,B19_20230804,2024-01-31,602,45.15
187,19,3,2023-09-18,B19_20230918,2024-03-16,526,45.15
188,19,3,2023-10-30,B19_20231030,2024-04-27,631,45.15
189,19,3,2023-12-11,B19_20231211,2024-06-08,655,45.15
190,19,3,2024-01-19,B19_20240119,2024-07-17,514,45.15
191,19,3,2024-03-01,B19_20240301,2024-08-28,687,45.15
192,20,2,2023-04-01,B20_20230401,2023-09-28,769,17.95
193,20,2,2023-05-12,B20_20230512,2023-11-08,831,17.95
194,20,2,2023-06-28,B20_20230628,2023-12-25,778,17.95
195,20,2,2023-08-09,B20_20230809,2024-02-05,697,17.95
196,20,2,2023-09-13,B20_20230913,2024-03-11,871,17.95
197,20,2,2023-10-21,B20_20231021,2024-04-18,845,17.95
198,20,2,2023-12-02,B20_20231202,2024-05-30,704,17.95
199,20,2,2024-01-20,B20_20240120,2024-07-18,674,17.95
200,20,2,2024-03-02,B20_20240302,2024-08-29,877,17.95
201,21,1,2023-04-01,B21_20230401,2023-09-28,769,12.23
202,21,1,2023-05-20,B21_20230520,2023-11-16,819,12.23
203,21,1,2023-07-04,B21_20230704,2023-12-31,885,12.23
204,21,1,2023-08-22,B21_20230822,2024-02-18,806,12.23
205,21,1,2023-10-09,B21_20231009,2024-04-06,857,12.23
206,21,1,2023-11-27,B21_20231127,2024-05-25,872,12.23
207,21,1,2024-01-16,B21_20240116,2024-07-14,768,12.23
208,21,1,2024-02-27,B21_20240227,2024-08-25,859,12.23
209,22,2,2023-04-01,B22_20230401,2023-09-28,593,15.95
210,22,2,2023-05-13,B22_20230513,2023-11-09,447,15.95
211,22,2,2023-06-26,B22_20230626,2023-12-23,478,15.95
212,22,2,2023-08-02,B22_20230802,2024-01-29,449,15.95
213,22,2,2023-09-10,B22_20230910,2024-03-08,507,15.95
214,22,2,2023-10-28,B22_20231028,2024-04-25,513,15.95
215,22,2,2023-12-03,B22_20231203,2024-05-31,486,15.95
216,22,2,2024-01-07,B22_20240107,2024-07-05,650,15.95
217,22,2,2024-02-23,B22_20240223,2024-08-21,610,15.95
218,23,1,2023-04-01,B23_20230401,2023-09-28,645,36.64
219,23,1,2023-05-19,B23_20230519,2023-11-15,606,36.64
220,23,1,2023-06-30,B23_20230630,2023-12-27,597,36.64
221,23,1,2023-08-12,B23_20230812,2024-02-08,588,36.64
222,23,1,2023-09-16,B23_20230916,2024-03-14,579,36.64
223,23,1,2023-11-02,B23_20231102,2024-04-30,640,36.64
224,23,1,2023-12-21,B23_20231221,2024-06-18,675,36.64
225,23,1,2024-01-25,B23_20240125,2024-07-23,673,36.64
226,23,1,2024-02-29,B23_20240229,2024-08-27,525,36.64
227,24,1,2023-04-01,B24_20230401,2023-09-28,705,30.86
228,24,1,2023-05-07,B24_20230507,2023-11-03,723,30.86
229,24,1,2023-06-25,B24_20230625,2023-12-22,775,30.86
230,24,1,2023-08-11,B24_20230811,2024-02-07,780,30.86
231,24,1,2023-09-28,B24_20230928,2024-03-26,701,30.86
232,24,1,2023-11-02,B24_20231102,2024-04-30,811,30.86
233,24,1,2023-12-18,B24_20231218,2024-06-15,693,30.86
234,24,1,2024-01-23,B24_20240123,2024-07-21,899,30.86
235,24,1,2024-03-04,B24_20240304,2024-08-31,887,30.86
236,25,1,2023-04-01,B25_20230401,2023-09-28,719,41.37
237,25,1,2023-05-12,B25_20230512,2023-11-08,764,41.37
238,25,1,2023-06-27,B25_20230627,2023-12-24,724,41.37
239,25,1,2023-08-04,B25_20230804,2024-01-31,828,41.37
240,25,1,2023-09-17,B25_20230917,2024-03-15,663,41.37
241,25,1,2023-10-31,B25_20231031,2024-04-28,850,41.37
242,25,1,2023-12-17,B25_20231217,2024-06-14,789,41.37
243,25,1,2024-01-23,B25_20240123,2024-07-21,847,41.37
244,25,1,2024-03-05,B25_20240305,2024-09-01,721,41.37
245,26,1,2023-04-01,B26_20230401,2023-09-28,566,24.47
246,26,1,2023-04-19,B26_20230419,2023-10-16,496,24.47
247,26,1,2023-05-13,B26_20230513,2023-11-09,545,24.47
248,26,1,2023-06-01,B26_20230601,2023-11-28,520,24.47
249,26,1,2023-06-24,B26_20230624,2023-12-21,443,24.47
250,26,1,2023-07-18,B26_20230718,2024-01-14,570,24.47
251,26,1,2023-08-06,B26_20230806,2024-02-02,509,24.47
252,26,1,2023-08-29,B26_20230829,2024-02-25,541,24.47
253,26,1,2023-09-23,B26_20230923,2024-03-21,552,24.47
254,26,1,2023-10-17,B26_20231017,2024-04-14,469,24.47
255,26,1,2023-11-08,B26_20231108,2024-05-06,538,24.47
256,26,1,2023-12-03,B26_20231203,2024-05-31,514,24.47
257,26,1,2023-12-25,B26_20231225,2024-06-22,492,24.47
258,26,1,2024-01-15,B26_20240115,2024-07-13,571,24.47
259,26,1,2024-02-03,B26_20240203,2024-08-01,485,24.47
260,26,1,2024-02-28,B26_20240228,2024-08-26,480,24.47
261,26,1,2024-03-24,B26_20240324,2024-09-20,530,24.47
262,27,2,2023-04-01,B27_20230401,2023-09-28,654,11.42
263,27,2,2023-04-24,B27_20230424,2023-10-21,602,11.42
264,27,2,2023-05-16,B27_20230516,2023-11-12,684,11.42
265,27,2,2023-06-07,B27_20230607,2023-12-04,701,11.42
266,27,2,2023-06-28,B27_20230628,2023-12-25,618,11.42
267,27,2,2023-07-23,B27_20230723,2024-01-19,679,11.42
268,27,2,2023-08-17,B27_20230817,2024-02-13,718,11.42
269,27,2,2023-09-04,B27_20230904,2024-03-02,585,11.42
270,27,2,2023-09-25,B27_20230925,2024-03-23,654,11.42
271,27,2,2023-10-20,B27_20231020,2024-04-17,687,11.42
272,27,2,2023-11-12,B27_20231112,2024-05-10,654,11.42
273,27,2,2023-12-04,B27_20231204,2024-06-01,610,11.42
274,27,2,2023-12-25,B27_20231225,2024-06-22,668,11.42
275,27,2,2024-01-14,B27_20240114,2024-07-12,642,11.42
276,27,2,2024-02-05,B27_20240205,2024-08-03,775,11.42
277,27,2,2024-02-27,B27_20240227,2024-08-25,818,11.42
278,27,2,2024-03-20,B27_20240320,2024-09-16,609,11.42
279,28,2,2023-04-01,B28_20230401,2023-09-28,637,41.49
280,28,2,2023-05-10,B28_20230510,2023-11-06,559,41.49
281,28,2,2023-06-15,B28_20230615,2023-12-12,609,41.49
282,28,2,2023-07-24,B28_20230724,2024-01-20,624,41.49
283,28,2,2023-09-12,B28_20230912,2024-03-10,528,41.49
284,28,2,2023-10-17,B28_20231017,2024-04-14,613,41.49
285,28,2,2023-12-06,B28_20231206,2024-06-03,596,41.49
286,28,2,2024-01-20,B28_20240120,2024-07-18,543,41.49
287,28,2,2024-02-25,B28_20240225,2024-08-23,555,41.49
288,29,2,2023-04-01,B29_20230401,2023-09-28,884,32.38
289,29,2,2023-06-07,B29_20230607,2023-12-04,970,32.38
290,29,2,2023-08-13,B29_20230813,2024-02-09,1023,32.38
291,29,2,2023-11-07,B29_20231107,2024-05-05,866,32.38
292,29,2,2024-01-15,B29_20240115,2024-07-13,1093,32.38
293,30,3,2023-04-01,B30_20230401,2023-09-28,564,34.11
294,30,3,2023-05-13,B30_20230513,2023-11-09,531,34.11
295,30,3,2023-06-30,B30_20230630,2023-12-27,619,34.11
296,30,3,2023-08-11,B30_20230811,2024-02-07,649,34.11
297,30,3,2023-09-27,B30_20230927,2024-03-25,591,34.11
298,30,3,2023-11-15,B30_20231115,2024-05-13,563,34.11
299,30,3,2024-01-02,B30_20240102,2024-06-30,564,34.11
300,30,3,2024-02-07,B30_20240207,2024-08-05,619,34.11
301,30,3,2024-03-16,B30_20240316,2024-09-12,680,34.11
302,31,2,2023-04-01,B31_20230401,2023-09-28,415,43.58
303,31,2,2023-04-23,B31_20230423,2023-10-20,419,43.58
304,31,2,2023-05-13,B31_20230513,2023-11-09,368,43.58
305,31,2,2023-06-01,B31_20230601,2023-11-28,358,43.58
306,31,2,2023-06-25,B31_20230625,2023-12-22,394,43.58
307,31,2,2023-07-20,B31_20230720,2024-01-16,374,43.58
308,31,2,2023-08-10,B31_20230810,2024-02-06,374,43.58
309,31,2,2023-09-01,B31_20230901,2024-02-28,424,43.58
310,31,2,2023-09-26,B31_20230926,2024-03-24,348,43.58
311,31,2,2023-10-17,B31_20231017,2024-04-14,450,43.58
312,31,2,2023-11-07,B31_20231107,2024-05-05,391,43.58
313,31,2,2023-11-28,B31_20231128,2024-05-26,417,43.58
314,31,2,2023-12-20,B31_20231220,2024-06-17,439,43.58
315,31,2,2024-01-08,B31_20240108,2024-07-06,347,43.58
316,31,2,2024-01-30,B31_20240130,2024-07-28,411,43.58
317,31,2,2024-02-21,B31_20240221,2024-08-19,392,43.58
318,31,2,2024-03-17,B31_20240317,2024-09-13,422,43.58
319,32,3,2023-04-01,B32_20230401,2023-09-28,679,35.48
320,32,3,2023-05-21,B32_20230521,2023-11-17,588,35.48
321,32,3,2023-06-26,B32_20230626,2023-12-23,670,35.48
322,32,3,2023-08-10,B32_20230810,2024-02-06,618,35.48
323,32,3,2023-09-14,B32_20230914,2024-03-12,526,35.48
324,32,3,2023-10-19,B32_20231019,2024-04-16,689,35.48
325,32,3,2023-12-01,B32_20231201,2024-05-29,613,35.48
326,32,3,2024-01-10,B32_20240110,2024-07-08,594,35.48
327,32,3,2024-02-28,B32_20240228,2024-08-26,674,35.48
328,33,3,2023-04-01,B33_20230401,2023-09-28,896,24.48
329,33,3,2023-05-19,B33_20230519,2023-11-15,811,24.48
330,33,3,2023-07-08,B33_20230708,2024-01-04,889,24.48
331,33,3,2023-08-27,B33_20230827,2024-02-23,744,24.48
332,33,3,2023-10-11,B33_20231011,2024-04-08,738,24.48
333,33,3,2023-11-18,B33_20231118,2024-05-16,863,24.48
334,33,3,2024-01-02,B33_20240102,2024-06-30,759,24.48
335,33,3,2024-02-21,B33_20240221,2024-08-19,730,24.48
336,34,1,2023-04-01,B34_20230401,2023-09-28,656,44.23
337,34,1,2023-05-07,B34_20230507,2023-11-03,591,44.23
338,34,1,2023-06-21,B34_20230621,2023-12-18,555,44.23
339,34,1,2023-07-29,B34_20230729,2024-01-25,684,44.23
340,34,1,2023-09-14,B34_20230914,2024-03-12,665,44.23
341,34,1,2023-10-19,B34_20231019,2024-04-16,628,44.23
342,34,1,2023-12-07,B34_20231207,2024-06-04,584,44.23
343,34,1,2024-01-17,B34_20240117,2024-07-15,603,44.23
344,34,1,2024-03-07,B34_20240307,2024-09-03,622,44.23
345,35,1,2023-04-01,B35_20230401,2023-09-28,546,28.38
346,35,1,2023-05-10,B35_20230510,2023-11-06,676,28.38
347,35,1,2023-06-28,B35_20230628,2023-12-25,668,28.38
348,35,1,2023-08-17,B35_20230817,2024-02-13,531,28.38
349,35,1,2023-09-28,B35_20230928,2024-03-26,637,28.38
350,35,1,2023-11-11,B35_20231111,2024-05-09,609,28.38
351,35,1,2023-12-29,B35_20231229,2024-06-26,526,28.38
352,35,1,2024-02-05,B35_20240205,2024-08-03,593,28.38
353,35,1,2024-03-14,B35_20240314,2024-09-10,626,28.38
354,36,1,2023-04-01,B36_20230401,2023-09-28,579,9.19
355,36,1,2023-05-14,B36_20230514,2023-11-10,529,9.19
356,36,1,2023-07-03,B36_20230703,2023-12-30,511,9.19
357,36,1,2023-08-19,B36_20230819,2024-02-15,509,9.19
358,36,1,2023-09-27,B36_20230927,2024-03-25,566,9.19
359,36,1,2023-11-14,B36_20231114,2024-05-12,562,9.19
360,36,1,2023-12-27,B36_20231227,2024-06-24,561,9.19
361,36,1,2024-02-09,B36_20240209,2024-08-07,615,9.19
362,36,1,2024-03-30,B36_20240330,2024-09-26,596,9.19
363,37,1,2023-04-01,B37_20230401,2023-09-28,953,28.42
364,37,1,2023-06-22,B37_20230622,2023-12-19,1078,28.42
365,37,1,2023-09-07,B37_20230907,2024-03-05,986,28.42
366,37,1,2023-11-21,B37_20231121,2024-05-19,1110,28.42
367,37,1,2024-02-16,B37_20240216,2024-08-14,921,28.42
368,38,2,2023-04-01,B38_20230401,2023-09-28,552,28.11
369,38,2,2023-05-19,B38_20230519,2023-11-15,517,28.11
370,38,2,2023-07-08,B38_20230708,2024-01-04,636,28.11
371,38,2,2023-08-24,B38_20230824,2024-02-20,579,28.11
372,38,2,2023-10-02,B38_20231002,2024-03-30,599,28.11
373,38,2,2023-11-07,B38_20231107,2024-05-05,532,28.11
374,38,2,2023-12-22,B38_20231222,2024-06-19,666,28.11
375,38,2,2024-02-09,B38_20240209,2024-08-07,527,28.11
376,38,2,2024-03-29,B38_20240329,2024-09-25,512,28.11
377,39,2,2023-04-01,B39_20230401,2023-09-28,389,31.89
378,39,2,2023-04-21,B39_20230421,2023-10-18,348,31.89
379,39,2,2023-05-13,B39_20230513,2023-11-09,380,31.89
380,39,2,2023-06-06,B39_20230606,2023-12-03,417,31.89
381,39,2,2023-06-29,B39_20230629,2023-12-26,442,31.89
382,39,2,2023-07-23,B39_20230723,2024-01-19,454,31.89
383,39,2,2023-08-17,B39_20230817,2024-02-13,444,31.89
384,39,2,2023-09-04,B39_20230904,2024-03-02,414,31.89
385,39,2,2023-09-25,B39_20230925,2024-03-23,415,31.89
386,39,2,2023-10-17,B39_20231017,2024-04-14,459,31.89
387,39,2,2023-11-05,B39_20231105,2024-05-03,392,31.89
388,39,2,2023-11-24,B39_20231124,2024-05-22,431,31.89
389,39,2,2023-12-13,B39_20231213,2024-06-10,393,31.89
390,39,2,2024-01-04,B39_20240104,2024-07-02,448,31.89
391,39,2,2024-01-22,B39_20240122,2024-07-20,378,31.89
392,39,2,2024-02-09,B39_20240209,2024-08-07,375,31.89
393,39,2,2024-03-03,B39_20240303,2024-08-30,391,31.89
394,39,2,2024-03-24,B39_20240324,2024-09-20,403,31.89
395,40,2,2023-04-01,B40_20230401,2023-09-28,1477,9.74
396,40,2,2023-07-02,B40_20230702,2023-12-29,1696,9.74
397,40,2,2023-09-20,B40_20230920,2024-03-18,1857,9.74
398,40,2,2023-12-08,B40_20231208,2024-06-05,1785,9.74
399,40,2,2024-03-03,B40_20240303,2024-08-30,1519,9.74
400,41,5,2023-04-01,B41_20230401,2023-07-30,1247,48.16
401,41,5,2023-06-07,B41_20230607,2023-10-05,1279,48.16
402,41,5,2023-08-29,B41_20230829,2023-12-27,1310,48.16
403,41,5,2023-11-24,B41_20231124,2024-03-23,1273,48.16
404,41,5,2024-02-03,B41_20240203,2024-06-02,1584,48.16
405,42,4,2023-04-01,B42_20230401,2023-07-30,368,35.8
406,42,4,2023-04-24,B42_20230424,2023-08-22,408,35.8
407,42,4,2023-05-16,B42_20230516,2023-09-13,342,35.8
408,42,4,2023-06-09,B42_20230609,2023-10-07,372,35.8
409,42,4,2023-06-27,B42_20230627,2023-10-25,449,35.8
410,42,4,2023-07-22,B42_20230722,2023-11-19,439,35.8
411,42,4,2023-08-13,B42_20230813,2023-12-11,433,35.8
412,42,4,2023-09-03,B42_20230903,2024-01-01,412,35.8
413,42,4,2023-09-26,B42_20230926,2024-01-24,366,35.8
414,42,4,2023-10-17,B42_20231017,2024-02-14,414,35.8
415,42,4,2023-11-06,B42_20231106,2024-03-05,415,35.8
416,42,4,2023-11-24,B42_20231124,2024-03-23,377,35.8
417,42,4,2023-12-19,B42_20231219,2024-04-17,344,35.8
418,42,4,2024-01-11,B42_20240111,2024-05-10,427,35.8
419,42,4,2024-01-30,B42_20240130,2024-05-29,449,35.8
420,42,4,2024-02-22,B42_20240222,2024-06-21,429,35.8
