retailer_id,retailer_name,city,retailer_type
67,Gurugram_Kirana_67,Gurugram,Kirana
68,Faridabad_Wholesaler_68,Faridabad,Wholesaler
69,Faridabad_Kirana_69,Faridabad,Kirana
70,Delhi_Kirana_70,Delhi,Kirana
71,Gurugram_Kirana_71,Gurugram,Kirana
72,Noida_Kirana_72,Noida,Kirana
73,Noida_Supermarket_73,Noida,Supermarket
74,Noida_Kirana_74,Noida,Kirana
75,Gurugram_Kirana_75,Gurugram,Kirana
76,Faridabad_Kirana_76,Faridabad,Kirana
77,Jaipur_Kirana_77,Jaipur,Kirana
78,Delhi_Supermarket_78,Delhi,Supermarket
79,Ghaziabad_Kirana_79,Ghaziabad,Kirana
80,Faridabad_Supermarket_80,Faridabad,Supermarket
81,Gurugram_Kirana_81,Gurugram,Kirana
82,Delhi_Supermarket_82,Delhi,Supermarket
83,Ghaziabad_Kirana_83,Ghaziabad,Kirana
84,Noida_Kirana_84,Noida,Kirana
85,Delhi_Wholesaler_85,Delhi,Wholesaler
86,Gurugram_Kirana_86,Gurugram,Kirana
87,Jaipur_Kirana_87,Jaipur,Kirana
88,Gurugram_Wholesaler_88,Gurugram,Wholesaler
89,Delhi_Kirana_89,Delhi,Kirana
90,Jaipur_Kirana_90,Jaipur,Kirana
91,Faridabad_Wholesaler_91,Faridabad,Wholesaler
92,Ghaziabad_Kirana_92,Ghaziabad,Kirana
93,Gurugram_Kirana_93,Gurugram,Kirana
94,Delhi_Supermarket_94,Delhi,Supermarket
95,Jaipur_Kirana_95,Jaipur,Kirana
96,Jaipur_Kirana_96,Jaipur,Kirana
97,Delhi_Kirana_97,Delhi,Kirana
98,Noida_Kirana_98,Noida,Kirana
99,Gurugram_Kirana_99,Gurugram,Kirana
100,Delhi_Wholesaler_100,Delhi,Wholesaler
101,Noida_Kirana_101,Noida,Kirana
102,Gurugram_Kirana_102,Gurugram,Kirana
103,Faridabad_Kirana_103,Faridabad,Kirana
104,Noida_Supermarket_104,Noida,Supermarket
105,Ghaziabad_Wholesaler_105,Ghaziabad,Wholesaler
106,Gurugram_Kirana_106,Gurugram,Kirana
107,Ghaziabad_Supermarket_107,Ghaziabad,Supermarket
108,Ghaziabad_Kirana_108,Ghaziabad,Kirana
109,Delhi_Kirana_109,Delhi,Kirana
110,Faridabad_Supermarket_110,Faridabad,Supermarket
111,Noida_Kirana_111,Noida,Kirana
112,Gurugram_Kirana_112,Gurugram,Kirana
113,Faridabad_Kirana_113,Faridabad,Kirana
114,Delhi_Supermarket_114,Delhi,Supermarket
115,Noida_Kirana_115,Noida,Kirana
116,Noida_Kirana_116,Noida,Kirana
117,Noida_Supermarket_117,Noida,Supermarket
118,Ghaziabad_Supermarket_118,Ghaziabad,Supermarket
119,Gurugram_Kirana_119,Gurugram,Kirana
120,Delhi_Kirana_120,Delhi,Kirana
121,Noida_Wholesaler_121,Noida,Wholesaler
122,Delhi_Supermarket_122,Delhi,Supermarket
123,Noida_Wholesaler_123,Noida,Wholesaler
124,Delhi_Kirana_124,Delhi,Kirana
125,Delhi_Kirana_125,Delhi,Kirana
126,Faridabad_Kirana_126,Faridabad,Kirana
127,Gurugram_Kirana_127,Gurugram,Kirana
128,Jaipur_Kirana_128,Jaipur,Kirana
129,Noida_Kirana_129,Noida,Kirana
130,Delhi_Kirana_130,Delhi,Kirana
131,Gurugram_Supermarket_131,Gurugram,Supermarket
132,Jaipur_Supermarket_132,Jaipur,Supermarket
133,Delhi_Kirana_133,Delhi,Kirana
134,Noida_Supermarket_134,Noida,Supermarket
135,Gurugram_Kirana_135,Gurugram,Kirana
136,Noida_Kirana_136,Noida,Kirana
137,Jaipur_Kirana_137,Jaipur,Kirana
138,Noida_Supermarket_138,Noida,Supermarket
139,Delhi_Kirana_139,Delhi,Kirana
140,Delhi_Supermarket_140,Delhi,Supermarket
141,Delhi_Supermarket_141,Delhi,Supermarket
142,Delhi_Kirana_142,Delhi,Kirana
143,Gurugram_Kirana_143,Gurugram,Kirana
144,Gurugram_Kirana_144,Gurugram,Kirana
145,Delhi_Kirana_145,Delhi,Kirana
146,Gurugram_Kirana_146,Gurugram,Kirana
147,Gurugram_Kirana_147,Gurugram,Kirana
148,Faridabad_Supermarket_148,Faridabad,Supermarket
149,Jaipur_Supermarket_149,Jaipur,Supermarket
150,Delhi_Kirana_150,Delhi,Kirana
151,Jaipur_Wholesaler_151,Jaipur,Wholesaler
152,Ghaziabad_Kirana_152,Ghaziabad,Kirana
153,Delhi_Wholesaler_153,Delhi,Wholesaler
154,Delhi_Supermarket_154,Delhi,Supermarket
155,Ghaziabad_Kirana_155,Ghaziabad,Kirana
156,Delhi_Wholesaler_156,Delhi,Wholesaler
157,Delhi_Kirana_157,Delhi,Kirana
158,Noida_Kirana_158,Noida,Kirana
159,Gurugram_Wholesaler_159,Gurugram,Wholesaler
160,Ghaziabad_Kirana_160,Ghaziabad,Kirana
161,Delhi_Supermarket_161,Delhi,Supermarket
162,Noida_Supermarket_162,Noida,Supermarket
163,Delhi_Kirana_163,Delhi,Kirana
164,Gurugram_Kirana_164,Gurugram,Kirana
165,Delhi_Supermarket_165,Delhi,Supermarket
166,Noida_Kirana_166,Noida,Kirana
167,Gurugram_Wholesaler_167,Gurugram,Wholesaler
168,Delhi_Kirana_168,Delhi,Kirana
169,Delhi_Supermarket_169,Delhi,Supermarket
170,Faridabad_Kirana_170,Faridabad,Kirana
171,Gurugram_Kirana_171,Gurugram,Kirana
172,Gurugram_Supermarket_172,Gurugram,Supermarket
173,Delhi_Supermarket_173,Delhi,Supermarket
174,Gurugram_Kirana_174,Gurugram,Kirana
175,Jaipur_Kirana_175,Jaipur,Kirana
176,Jaipur_Kirana_176,Jaipur,Kirana
177,Gurugram_Kirana_177,Gurugram,Kirana
178,Jaipur_Kirana_178,Jaipur,Kirana
179,Delhi_Wholesaler_179,Delhi,Wholesaler
180,Faridabad_Kirana_180,Faridabad,Kirana
181,Gurugram_Supermarket_181,Gurugram,Supermarket
182,Jaipur_Supermarket_182,Jaipur,Supermarket
183,Faridabad_Supermarket_183,Faridabad,Supermarket
184,Delhi_Kirana_184,Delhi,Kirana
185,Delhi_Kirana_185,Delhi,Kirana
186,Delhi_Kirana_186,Delhi,Kirana
187,Noida_Kirana_187,Noida,Kirana
188,Gurugram_Kirana_188,Gurugram,Kirana
189,Delhi_Kirana_189,Delhi,Kirana
190,Gurugram_Supermarket_190,Gurugram,Supermarket
191,Jaipur_Supermarket_191,Jaipur,Supermarket
192,Faridabad_Kirana_192,Faridabad,Kirana
193,Ghaziabad_Kirana_193,Ghaziabad,Kirana
194,Faridabad_Kirana_194,Faridabad,Kirana
195,Delhi_Supermarket_195,Delhi,Supermarket
196,Noida_Kirana_196,Noida,Kirana
197,Jaipur_Kirana_197,Jaipur,Kirana
198,Ghaziabad_Supermarket_198,Ghaziabad,Supermarket
199,Noida_Supermarket_199,Noida,Supermarket
200,Delhi_Supermarket_200,Delhi,Supermarket
201,Delhi_Kirana_201,Delhi,Kirana
202,Delhi_Supermarket_202,Delhi,Supermarket
203,Delhi_Kirana_203,Delhi,Kirana
204,Delhi_Kirana_204,Delhi,Kirana
205,Gurugram_Supermarket_205,Gurugram,Supermarket
206,Noida_Kirana_206,Noida,Kirana
207,Delhi_Kirana_207,Delhi,Kirana
208,Noida_Kirana_208,Noida,Kirana
209,Jaipur_Wholesaler_209,Jaipur,Wholesaler
210,Ghaziabad_Kirana_210,Ghaziabad,Kirana
211,Delhi_Kirana_211,Delhi,Kirana
212,Faridabad_Kirana_212,Faridabad,Kirana
213,Delhi_Kirana_213,Delhi,Kirana
214,Delhi_Kirana_214,Delhi,Kirana
215,Delhi_Supermarket_215,Delhi,Supermarket
216,Delhi_Supermarket_216,Delhi,Supermarket
217,Faridabad_Kirana_217,Faridabad,Kirana
218,Delhi_Kirana_218,Delhi,Kirana
219,Delhi_Kirana_219,Delhi,Kirana
220,Ghaziabad_Supermarket_220,Ghaziabad,Supermarket
