product_id,batch_number,quantity_remaining,expiry_date,purchase_date
18,B18_20231212,1331,2024-06-09,2023-12-12
18,B18_20240306,1230,2024-09-02,2024-03-06
19,B19_20231030,191,2024-04-27,2023-10-30
19,B19_20231211,655,2024-06-08,2023-12-11
19,B19_20240119,514,2024-07-17,2024-01-19
19,B19_20240301,687,2024-08-28,2024-03-01
20,B20_20231021,773,2024-04-18,2023-10-21
20,B20_20231202,704,2024-05-30,2023-12-02
20,B20_20240120,674,2024-07-18,2024-01-20
20,B20_20240302,877,2024-08-29,2024-03-02
21,B21_20231009,244,2024-04-06,2023-10-09
21,B21_20231127,872,2024-05-25,2023-11-27
21,B21_20240116,768,2024-07-14,2024-01-16
21,B21_20240227,859,2024-08-25,2024-02-27
22,B22_20240223,589,2024-08-21,2024-02-23
23,B23_20231102,380,2024-04-30,2023-11-02
23,B23_20231221,675,2024-06-18,2023-12-21
23,B23_20240125,673,2024-07-23,2024-01-25
23,B23_20240229,525,2024-08-27,2024-02-29
24,B24_20230928,233,2024-03-26,2023-09-28
24,B24_20231102,811,2024-04-30,2023-11-02
24,B24_20231218,693,2024-06-15,2023-12-18
24,B24_20240123,899,2024-07-21,2024-01-23
24,B24_20240304,887,2024-08-31,2024-03-04
25,B25_20231031,784,2024-04-28,2023-10-31
25,B25_20231217,789,2024-06-14,2023-12-17
25,B25_20240123,847,2024-07-21,2024-01-23
25,B25_20240305,721,2024-09-01,2024-03-05
26,B26_20240115,180,2024-07-13,2024-01-15
26,B26_20240203,485,2024-08-01,2024-02-03
26,B26_20240228,480,2024-08-26,2024-02-28
26,B26_20240324,530,2024-09-20,2024-03-24
27,B27_20231204,339,2024-06-01,2023-12-04
27,B27_20231225,668,2024-06-22,2023-12-25
27,B27_20240114,642,2024-07-12,2024-01-14
27,B27_20240205,775,2024-08-03,2024-02-05
27,B27_20240227,818,2024-08-25,2024-02-27
27,B27_20240320,609,2024-09-16,2024-03-20
28,B28_20231017,530,2024-04-14,2023-10-17
28,B28_20231206,596,2024-06-03,2023-12-06
28,B28_20240120,543,2024-07-18,2024-01-20
28,B28_20240225,555,2024-08-23,2024-02-25
29,B29_20231107,820,2024-05-05,2023-11-07
29,B29_20240115,1093,2024-07-13,2024-01-15
30,B30_20231115,38,2024-05-13,2023-11-15
30,B30_20240102,564,2024-06-30,2024-01-02
30,B30_20240207,619,2024-08-05,2024-02-07
30,B30_20240316,680,2024-09-12,2024-03-16
32,B32_20231019,689,2024-04-16,2023-10-19
32,B32_20231201,613,2024-05-29,2023-12-01
32,B32_20240110,594,2024-07-08,2024-01-10
32,B32_20240228,674,2024-08-26,2024-02-28
33,B33_20231011,548,2024-04-08,2023-10-11
33,B33_20231118,863,2024-05-16,2023-11-18
33,B33_20240102,759,2024-06-30,2024-01-02
33,B33_20240221,730,2024-08-19,2024-02-21
34,B34_20231019,450,2024-04-16,2023-10-19
34,B34_20231207,584,2024-06-04,2023-12-07
34,B34_20240117,603,2024-07-15,2024-01-17
34,B34_20240307,622,2024-09-03,2024-03-07
35,B35_20231229,85,2024-06-26,2023-12-29
35,B35_20240205,593,2024-08-03,2024-02-05
35,B35_20240314,626,2024-09-10,2024-03-14
36,B36_20240209,330,2024-08-07,2024-02-09
36,B36_20240330,596,2024-09-26,2024-03-30
37,B37_20231121,1078,2024-05-19,2023-11-21
37,B37_20240216,921,2024-08-14,2024-02-16
38,B38_20231002,217,2024-03-30,2023-10-02
38,B38_20231107,532,2024-05-05,2023-11-07
38,B38_20231222,666,2024-06-19,2023-12-22
38,B38_20240209,527,2024-08-07,2024-02-09
38,B38_20240329,512,2024-09-25,2024-03-29
40,B40_20231208,1710,2024-06-05,2023-12-08
40,B40_20240303,1519,2024-08-30,2024-03-03
41,B41_20240203,1584,2024-06-02,2024-02-03
43,B43_20231212,1109,2024-04-10,2023-12-12
43,B43_20240316,1091,2024-07-14,2024-03-16
45,B45_20240131,1330,2024-05-30,2024-01-31
46,B46_20231206,988,2024-04-04,2023-12-06
46,B46_20240228,972,2024-06-27,2024-02-28
47,B47_20240102,640,2024-05-01,2024-01-02
47,B47_20240209,885,2024-06-08,2024-02-09
47,B47_20240329,684,2024-07-27,2024-03-29
48,B48_20231130,478,2024-03-29,2023-11-30
48,B48_20240108,847,2024-05-07,2024-01-08
48,B48_20240212,727,2024-06-11,2024-02-12
48,B48_20240322,894,2024-07-20,2024-03-22
49,B49_20240106,604,2024-05-05,2024-01-06
49,B49_20240212,595,2024-06-11,2024-02-12
49,B49_20240329,602,2024-07-27,2024-03-29
50,B50_20231212,605,2024-04-10,2023-12-12
50,B50_20240131,829,2024-05-30,2024-01-31
50,B50_20240320,680,2024-07-18,2024-03-20
51,B51_20240124,114,2024-05-23,2024-01-24
51,B51_20240306,584,2024-07-04,2024-03-06
52,B52_20231126,1020,2024-03-25,2023-11-26
52,B52_20240203,1372,2024-06-02,2024-02-03
53,B53_20231207,167,2024-04-05,2023-12-07
53,B53_20240124,666,2024-05-23,2024-01-24
53,B53_20240229,684,2024-06-28,2024-02-29
54,B54_20231223,486,2024-04-21,2023-12-23
54,B54_20240127,805,2024-05-26,2024-01-27
54,B54_20240310,669,2024-07-08,2024-03-10
55,B55_20231129,597,2024-03-28,2023-11-29
55,B55_20240223,970,2024-06-22,2024-02-23
56,B56_20240128,1821,2024-05-27,2024-01-28
58,B58_20231126,1040,2024-03-25,2023-11-26
58,B58_20240226,1394,2024-06-25,2024-02-26
59,B59_20231231,659,2024-04-29,2023-12-31
59,B59_20240215,525,2024-06-14,2024-02-15
59,B59_20240324,553,2024-07-22,2024-03-24
60,B60_20231214,543,2024-04-12,2023-12-14
60,B60_20240122,718,2024-05-21,2024-01-22
60,B60_20240301,722,2024-06-29,2024-03-01
61,B61_20231220,547,2024-04-18,2023-12-20
61,B61_20240202,653,2024-06-01,2024-02-02
61,B61_20240309,573,2024-07-07,2024-03-09
62,B62_20240209,877,2024-06-08,2024-02-09
64,B64_20231214,599,2024-04-12,2023-12-14
64,B64_20240131,781,2024-05-30,2024-01-31
64,B64_20240306,747,2024-07-04,2024-03-06
65,B65_20231209,408,2024-04-07,2023-12-09
65,B65_20240117,617,2024-05-16,2024-01-17
65,B65_20240225,539,2024-06-24,2024-02-25
66,B66_20240215,1034,2024-06-14,2024-02-15
67,B67_20240104,115,2024-05-03,2024-01-04
67,B67_20240124,571,2024-05-23,2024-01-24
67,B67_20240212,589,2024-06-11,2024-02-12
67,B67_20240304,569,2024-07-02,2024-03-04
67,B67_20240327,587,2024-07-25,2024-03-27
68,B68_20231204,762,2024-04-02,2023-12-04
68,B68_20240114,1143,2024-05-13,2024-01-14
68,B68_20240302,891,2024-06-30,2024-03-02
69,B69_20240217,1265,2024-06-16,2024-02-17
70,B70_20240124,572,2024-05-23,2024-01-24
70,B70_20240314,517,2024-07-12,2024-03-14
71,B71_20240206,1021,2024-06-05,2024-02-06
72,B72_20231209,269,2024-04-07,2023-12-09
72,B72_20240102,486,2024-05-01,2024-01-02
72,B72_20240127,526,2024-05-26,2024-01-27
72,B72_20240218,592,2024-06-17,2024-02-18
72,B72_20240308,548,2024-07-06,2024-03-08
72,B72_20240328,526,2024-07-26,2024-03-28
73,B73_20231228,423,2024-04-26,2023-12-28
73,B73_20240202,523,2024-06-01,2024-02-02
73,B73_20240320,575,2024-07-18,2024-03-20
74,B74_20240119,1003,2024-05-18,2024-01-19
75,B75_20231214,6,2024-04-12,2023-12-14
75,B75_20240121,514,2024-05-20,2024-01-21
75,B75_20240301,599,2024-06-29,2024-03-01
76,B76_20240112,1327,2024-05-11,2024-01-12
77,B77_20240128,1079,2024-05-27,2024-01-28
78,B78_20231201,752,2024-03-30,2023-12-01
78,B78_20240213,1105,2024-06-12,2024-02-13
79,B79_20231203,24,2024-04-01,2023-12-03
79,B79_20240111,620,2024-05-10,2024-01-11
79,B79_20240217,521,2024-06-16,2024-02-17
80,B80_20231214,1047,2024-04-12,2023-12-14
80,B80_20240221,1484,2024-06-20,2024-02-21
81,B81_20231206,564,2024-04-04,2023-12-06
81,B81_20240115,568,2024-05-14,2024-01-15
81,B81_20240226,572,2024-06-25,2024-02-26
83,B83_20240212,953,2024-06-11,2024-02-12
85,B85_20231208,764,2024-04-06,2023-12-08
85,B85_20240222,685,2024-06-21,2024-02-22
86,B86_20240129,126,2025-01-28,2024-01-29
86,B86_20240310,432,2025-03-10,2024-03-10
88,B88_20231228,200,2024-12-27,2023-12-28
88,B88_20240209,525,2025-02-08,2024-02-09
88,B88_20240327,615,2025-03-27,2024-03-27
89,B89_20230401,528,2024-03-31,2023-04-01
89,B89_20230614,841,2024-06-13,2023-06-14
89,B89_20230820,878,2024-08-19,2023-08-20
89,B89_20231101,964,2024-10-31,2023-11-01
89,B89_20240131,984,2025-01-30,2024-01-31
91,B91_20230906,170,2024-09-05,2023-09-06
91,B91_20231018,606,2024-10-17,2023-10-18
91,B91_20231123,674,2024-11-22,2023-11-23
91,B91_20240102,585,2025-01-01,2024-01-02
91,B91_20240211,678,2025-02-10,2024-02-11
91,B91_20240318,689,2025-03-18,2024-03-18
92,B92_20230929,134,2024-09-28,2023-09-29
92,B92_20231117,536,2024-11-16,2023-11-17
92,B92_20240101,497,2024-12-31,2024-01-01
92,B92_20240213,560,2025-02-12,2024-02-13
92,B92_20240329,609,2025-03-29,2024-03-29
93,B93_20230702,517,2024-07-01,2023-07-02
93,B93_20230917,768,2024-09-16,2023-09-17
93,B93_20231207,663,2024-12-06,2023-12-07
93,B93_20240222,735,2025-02-21,2024-02-22
94,B94_20240309,274,2025-03-09,2024-03-09
95,B95_20231222,352,2024-12-21,2023-12-22
95,B95_20240206,409,2025-02-05,2024-02-06
95,B95_20240327,452,2025-03-27,2024-03-27
98,B98_20240120,464,2025-01-19,2024-01-20
98,B98_20240224,488,2025-02-23,2024-02-24
98,B98_20240331,558,2025-03-31,2024-03-31
100,B100_20230705,421,2024-07-04,2023-07-05
100,B100_20231001,786,2024-09-30,2023-10-01
100,B100_20231225,737,2024-12-24,2023-12-25
100,B100_20240316,699,2025-03-16,2024-03-16
101,B101_20230915,293,2024-09-14,2023-09-15
101,B101_20231202,680,2024-12-01,2023-12-02
101,B101_20240214,674,2025-02-13,2024-02-14
103,B103_20230629,300,2024-06-28,2023-06-29
103,B103_20230909,741,2024-09-08,2023-09-09
103,B103_20231205,637,2024-12-04,2023-12-05
103,B103_20240308,645,2025-03-08,2024-03-08
104,B104_20230617,125,2024-06-16,2023-06-17
104,B104_20230910,670,2024-09-09,2023-09-10
104,B104_20231122,670,2024-11-21,2023-11-22
104,B104_20240223,699,2025-02-22,2024-02-23
105,B105_20230628,182,2024-06-27,2023-06-28
105,B105_20230927,662,2024-09-26,2023-09-27
105,B105_20231207,672,2024-12-06,2023-12-07
105,B105_20240223,604,2025-02-22,2024-02-23
106,B106_20240328,193,2025-03-28,2024-03-28
110,B110_20230401,149,2024-03-31,2023-04-01
110,B110_20230623,1048,2024-06-22,2023-06-23
110,B110_20230829,1081,2024-08-28,2023-08-29
110,B110_20231111,1089,2024-11-10,2023-11-11
110,B110_20240206,872,2025-02-05,2024-02-06
111,B111_20240120,30,2026-01-19,2024-01-20
111,B111_20240308,370,2026-03-08,2024-03-08
112,B112_20230828,619,2025-08-27,2023-08-28
112,B112_20231103,759,2025-11-02,2023-11-03
112,B112_20240114,647,2026-01-13,2024-01-14
112,B112_20240331,588,2026-03-31,2024-03-31
113,B113_20231105,514,2025-11-04,2023-11-05
113,B113_20231225,616,2025-12-24,2023-12-25
113,B113_20240204,592,2026-02-03,2024-02-04
113,B113_20240314,564,2026-03-14,2024-03-14
114,B114_20231217,623,2025-12-16,2023-12-17
114,B114_20240131,562,2026-01-30,2024-01-31
114,B114_20240321,684,2026-03-21,2024-03-21
115,B115_20231212,266,2025-12-11,2023-12-12
115,B115_20240122,412,2026-01-21,2024-01-22
115,B115_20240306,461,2026-03-06,2024-03-06
117,B117_20240310,134,2026-03-10,2024-03-10
118,B118_20230903,110,2025-09-02,2023-09-03
118,B118_20231012,572,2025-10-11,2023-10-12
118,B118_20231126,591,2025-11-25,2023-11-26
118,B118_20240106,603,2026-01-05,2024-01-06
118,B118_20240221,595,2026-02-20,2024-02-21
119,B119_20231103,645,2025-11-02,2023-11-03
119,B119_20231215,602,2025-12-14,2023-12-15
119,B119_20240124,569,2026-01-23,2024-01-24
119,B119_20240312,682,2026-03-12,2024-03-12
120,B120_20240302,221,2026-03-02,2024-03-02
121,B121_20230401,334,2025-03-31,2023-04-01
121,B121_20230620,1310,2025-06-19,2023-06-20
121,B121_20230913,1227,2025-09-12,2023-09-13
121,B121_20231129,1343,2025-11-28,2023-11-29
121,B121_20240220,1149,2026-02-19,2024-02-20
123,B123_20240209,399,2026-02-08,2024-02-09
123,B123_20240330,426,2026-03-30,2024-03-30
124,B124_20231109,528,2025-11-08,2023-11-09
124,B124_20231221,563,2025-12-20,2023-12-21
124,B124_20240126,590,2026-01-25,2024-01-26
124,B124_20240312,665,2026-03-12,2024-03-12
125,B125_20230608,684,2025-06-07,2023-06-08
125,B125_20230819,639,2025-08-18,2023-08-19
125,B125_20231115,718,2025-11-14,2023-11-15
125,B125_20240130,775,2026-01-29,2024-01-30
127,B127_20240324,233,2026-03-24,2024-03-24
128,B128_20230917,288,2025-09-16,2023-09-17
128,B128_20231105,512,2025-11-04,2023-11-05
128,B128_20231215,589,2025-12-14,2023-12-15
128,B128_20240119,688,2026-01-18,2024-01-19
128,B128_20240307,546,2026-03-07,2024-03-07
130,B130_20231016,148,2025-10-15,2023-10-16
130,B130_20231125,589,2025-11-24,2023-11-25
130,B130_20240105,623,2026-01-04,2024-01-05
130,B130_20240213,675,2026-02-12,2024-02-13
131,B131_20230919,10,2025-09-18,2023-09-19
131,B131_20231028,554,2025-10-27,2023-10-28
131,B131_20231204,554,2025-12-03,2023-12-04
131,B131_20240117,650,2026-01-16,2024-01-17
131,B131_20240221,662,2026-02-20,2024-02-21
132,B132_20240225,305,2026-02-24,2024-02-25
134,B134_20240113,314,2026-01-12,2024-01-13
134,B134_20240221,379,2026-02-20,2024-02-21
134,B134_20240328,426,2026-03-28,2024-03-28
135,B135_20230612,848,2025-06-11,2023-06-12
135,B135_20230908,945,2025-09-07,2023-09-08
135,B135_20231208,873,2025-12-07,2023-12-08
135,B135_20240222,885,2026-02-21,2024-02-22
136,B136_20230401,173,2025-03-31,2023-04-01
136,B136_20230610,641,2025-06-09,2023-06-10
136,B136_20230830,801,2025-08-29,2023-08-30
136,B136_20231203,679,2025-12-02,2023-12-03
136,B136_20240305,692,2026-03-05,2024-03-05
137,B137_20240206,203,2026-02-05,2024-02-06
137,B137_20240319,375,2026-03-19,2024-03-19
138,B138_20230401,29,2025-03-31,2023-04-01
138,B138_20230622,953,2025-06-21,2023-06-22
138,B138_20230921,1058,2025-09-20,2023-09-21
138,B138_20231125,1135,2025-11-24,2023-11-25
138,B138_20240129,1077,2026-01-28,2024-01-29
139,B139_20230909,603,2025-09-08,2023-09-09
139,B139_20231016,517,2025-10-15,2023-10-16
139,B139_20231127,671,2025-11-26,2023-11-27
139,B139_20240114,636,2026-01-13,2024-01-14
139,B139_20240229,592,2026-02-28,2024-02-29
140,B140_20230401,153,2025-03-31,2023-04-01
140,B140_20230621,623,2025-06-20,2023-06-21
140,B140_20230920,677,2025-09-19,2023-09-20
140,B140_20231212,714,2025-12-11,2023-12-12
140,B140_20240228,734,2026-02-27,2024-02-28
141,B141_20240308,171,2026-03-08,2024-03-08
142,B142_20230401,284,2025-03-31,2023-04-01
142,B142_20230611,689,2025-06-10,2023-06-11
142,B142_20230829,650,2025-08-28,2023-08-29
142,B142_20231105,613,2025-11-04,2023-11-05
142,B142_20240203,739,2026-02-02,2024-02-03
143,B143_20240127,130,2026-01-26,2024-01-27
143,B143_20240309,368,2026-03-09,2024-03-09
145,B145_20230925,105,2025-09-24,2023-09-25
145,B145_20231114,520,2025-11-13,2023-11-14
145,B145_20231227,578,2025-12-26,2023-12-27
145,B145_20240213,545,2026-02-12,2024-02-13
145,B145_20240326,623,2026-03-26,2024-03-26
146,B146_20231223,419,2024-05-21,2023-12-23
146,B146_20240211,605,2024-07-10,2024-02-11
146,B146_20240324,685,2024-08-21,2024-03-24
147,B147_20231209,613,2024-05-07,2023-12-09
147,B147_20240124,674,2024-06-22,2024-01-24
147,B147_20240228,636,2024-07-27,2024-02-28
148,B148_20231206,279,2024-05-04,2023-12-06
148,B148_20240125,510,2024-06-23,2024-01-25
148,B148_20240306,655,2024-08-03,2024-03-06
149,B149_20231208,835,2024-05-06,2023-12-08
149,B149_20240304,1125,2024-08-01,2024-03-04
150,B150_20231110,83,2024-04-08,2023-11-10
150,B150_20231228,652,2024-05-26,2023-12-28
150,B150_20240216,626,2024-07-15,2024-02-16
150,B150_20240327,637,2024-08-24,2024-03-27
151,B151_20231126,1272,2024-04-24,2023-11-26
151,B151_20240226,1601,2024-07-25,2024-02-26
152,B152_20231212,1008,2024-05-10,2023-12-12
152,B152_20240315,998,2024-08-12,2024-03-15
153,B153_20231127,1138,2024-04-25,2023-11-27
153,B153_20240226,1062,2024-07-25,2024-02-26
155,B155_20231208,195,2024-05-06,2023-12-08
155,B155_20240120,569,2024-06-18,2024-01-20
155,B155_20240227,485,2024-07-26,2024-02-27
158,B158_20240316,563,2024-08-13,2024-03-16
160,B160_20231203,778,2024-05-01,2023-12-03
160,B160_20240212,770,2024-07-11,2024-02-12
162,B162_20231202,685,2024-04-30,2023-12-02
162,B162_20240218,783,2024-07-17,2024-02-18
164,B164_20231102,198,2024-03-31,2023-11-02
164,B164_20231212,661,2024-05-10,2023-12-12
164,B164_20240121,562,2024-06-19,2024-01-21
164,B164_20240311,533,2024-08-08,2024-03-11
166,B166_20240209,467,2024-07-08,2024-02-09
166,B166_20240320,566,2024-08-17,2024-03-20
167,B167_20231212,476,2024-05-10,2023-12-12
167,B167_20240131,578,2024-06-29,2024-01-31
167,B167_20240307,606,2024-08-04,2024-03-07
169,B169_20240210,38,2024-07-09,2024-02-10
169,B169_20240302,563,2024-07-30,2024-03-02
169,B169_20240323,497,2024-08-20,2024-03-23
170,B170_20231211,898,2024-05-09,2023-12-11
170,B170_20240221,850,2024-07-20,2024-02-21
